,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-20,507.768912041665,512.9779929065611,505.57208508284214,511.1435241699219,12609700,0.0,0.0
2018-12-21,509.5807270053922,512.4117411232551,496.44487955322603,498.3473205566406,18115814,0.0,0.0
2018-12-24,498.66438929756424,499.70619935942034,492.1644076639221,493.34210205078125,9065704,0.0,0.0
2018-12-26,491.8246929768978,498.2567323973678,482.69752375460104,497.50933837890625,15771193,0.0,0.0
2018-12-27,501.5180527019647,510.4866903170806,500.06858965969815,507.4065246582031,27294221,0.0,0.0
2018-12-28,509.8071868784848,514.2235784568614,507.8594511540379,509.8298645019531,16768547,0.0,0.0
2018-12-31,512.275855174907,513.5894641054228,505.59469453372,507.88214111328125,15799099,0.0,0.0
2019-01-01,509.6939784313095,510.6225515170692,502.831608646044,507.76885986328125,9746670,0.0,0.0
2019-01-02,504.824668228112,510.486696615189,498.7096920837487,501.15570068359375,15628818,0.0,0.0
2019-01-03,501.6539391065448,504.8699588674277,493.77243653650515,494.9727783203125,16288287,0.0,0.0
2019-01-04,497.07904845935343,500.272420849333,489.695788379461,497.6452331542969,18516544,0.0,0.0
2019-01-07,501.4274573440838,506.6138602251211,498.70968015487466,500.4082946777344,12060290,0.0,0.0
2019-01-08,500.566833080425,502.76369015374894,496.4448875852813,500.3630065917969,12304389,0.0,0.0
2019-01-09,503.6922830649379,505.9570823900843,497.66789629900154,503.1260681152344,12614237,0.0,0.0
2019-01-10,501.76716760055064,503.23930824856075,499.6156053336117,501.6539306640625,8925160,0.0,0.0
2019-01-11,501.6992462214636,504.50761307320204,493.09299679719544,497.37347412109375,14139060,0.0,0.0
2019-01-14,495.9919148263242,498.48318781317505,492.09644340383215,496.8072509765625,8994060,0.0,0.0
2019-01-15,500.5215771821935,512.7515302918099,500.5215771821935,511.68707275390625,22011407,0.0,0.0
2019-01-16,514.1102919532971,518.6399505313485,512.0040548384292,514.5180053710938,13961606,0.0,0.0
2019-01-17,518.3908657772771,519.9535658344447,511.84555878499833,513.8612670898438,16379077,0.0,0.0
2019-01-18,520.361182430526,538.9778789030554,514.2235893378636,536.4639282226562,56181172,0.0,0.0
2019-01-21,540.8350924978374,561.6486183504372,538.4117310639994,560.6294555664062,48206814,0.0,0.0
2019-01-22,558.432585377699,564.8193302678867,552.4308158498842,559.474365234375,36207430,0.0,0.0
2019-01-23,558.6363317439351,563.5736433491111,553.5179015230924,555.4656372070312,19313542,0.0,0.0
2019-01-24,554.8768274389964,567.6503165913156,552.6573230319763,565.0457763671875,28775487,0.0,0.0
2019-01-25,566.4046852293351,572.859341788736,559.5876099997653,564.3889770507812,18703992,0.0,0.0
2019-01-28,566.4273330927816,568.8959891508226,553.699137908416,556.9378051757812,18744303,0.0,0.0
2019-01-29,557.5945899839829,557.8890362610402,544.1642959933739,548.3768310546875,20405845,0.0,0.0
2019-01-30,550.3472974037229,554.876896328425,539.5214821958058,541.6051025390625,17164298,0.0,0.0
2019-01-31,544.4587394438729,557.0057550118376,544.0057916920327,555.8507080078125,22279301,0.0,0.0
2019-02-01,558.9534937570961,568.4656384904108,555.805416154758,566.1781616210938,20187323,0.0,0.0
2019-02-04,564.8419771337425,587.4674145715803,562.5998553482862,584.7269897460938,25528059,0.0,0.0
2019-02-05,585.2252190413197,590.8419529012024,579.1555374041083,585.0213623046875,20479210,0.0,0.0
2019-02-06,587.1502492187728,596.843633557828,586.24435370749,593.49169921875,20586783,0.0,0.0
2019-02-07,593.4917130988417,598.4516423232784,582.5527524127741,584.50048828125,20150710,0.0,0.0
2019-02-08,581.9638533475696,589.0753750927479,576.2792077606052,578.7478637695312,14230054,0.0,0.0
2019-02-11,577.9325733039254,577.9778680812585,566.6538109059845,567.6729736328125,16457901,0.0,0.0
2019-02-12,566.8802879052937,576.3245211626001,566.8802879052937,569.0997924804688,13998153,0.0,0.0
